"category","photo","lb","ub","p","sig","r2","cases","mean_fix_rate","mean_photo_fix_rate","mean_no_photo_fix_rate","base_prob","photo_prob","predicted_difference","diff_lb","diff_ub"
"Highways Enquiries",0.697612526875118,0.560904097037347,0.846294270655866,4.60421035808043e-35,TRUE,0.116072637942692,20075,0.212851805728518,0.240922294843863,0.202237935058694,0.469398713429999,0.581629937882805,0.112231224452806,0.0543391615137269,0.14567169112046
"Open Spaces/Parks",0.496019080808454,0.347830194750047,0.660500780336071,3.7738765743777e-14,TRUE,0.110247727203314,7308,0.451696770662288,0.481140754369825,0.427971336792686,0.411887357820818,0.509069998294704,0.0971826404738856,0.0703387157453777,0.123679947119018
"Incivilities",0.641149243855186,0.504747176369487,0.789915862879212,4.57461962024628e-29,TRUE,0.215133806731455,13794,0.648470349427287,0.654758502429265,0.641995291347852,0.732691196180022,0.817083559146518,0.0843923629664962,0.0577714797450034,0.112927779172215
"Parking",0.410614376565975,0.208311759722605,0.646787679887701,1.32604323914134e-05,TRUE,0.242832591244968,7366,0.144447461308716,0.169904320092781,0.122032167475109,0.152399333969359,0.201048673969281,0.0486493399999222,0.0190122038854897,0.0894473738935333
"Road Safety",0.206711841670328,0.124955561811587,0.294409768935636,1.52588353720408e-07,TRUE,0.118033640879627,28280,0.261951909476662,0.281816611984113,0.256836675708124,0.420747269966432,0.466659892498904,0.0459126225324725,0.0285483468725249,0.0634158738766838
"Dog Fouling",0.346335271037538,0.111322598338949,0.631046344912785,0.00237864453853811,TRUE,0.257261752042313,4600,0.518260869565217,0.506970849176172,0.520598268171084,0.850685861796105,0.883733248370702,0.0330473865745976,0.010358564334624,0.0651496086755596
"Overgrown/Fallen Veg/Trees",0.19951073569811,0.13323775431178,0.269659433407093,3.53406046041819e-10,TRUE,0.141938822771015,44751,0.244709615427588,0.261951471347445,0.239947527519535,0.215597053720483,0.2478607506922,0.032263696971717,0.0211384309055306,0.0443864315034938
"Rubbish",0.279764735906424,0.247881023097253,0.312463086588664,7.50018012805802e-82,TRUE,0.161746405240959,151055,0.617391016517163,0.621859115180476,0.614249312226582,0.853837054046481,0.881992675655004,0.0281556216085229,0.024046994710866,0.0325925068020339
"Abandoned Vehicles",0.25615942706017,0.163200387185863,0.356547438923782,6.10694684528437e-09,TRUE,0.301429966620908,21422,0.33078143964149,0.324371555316575,0.334191518272188,0.0483370333948182,0.0599614150601174,0.0116243816652992,0.00579243906680784,0.0200813138983563
"Road Surface Defects",-0.0497997306951137,-0.0757070478129331,-0.023166248697799,0.000292563946133096,TRUE,0.126174218999057,163410,0.493097117679457,0.443469719550196,0.504040751086745,0.587715710869788,0.575298113224976,-0.0124175976448115,-0.0191848788568145,-0.005683998295129
"Street Lights",-0.404511678254789,-0.436618418322963,-0.370575196513598,4.67474045953198e-75,TRUE,0.18908984935446,57107,0.572942021118252,0.482753726046842,0.585633814070552,0.0454133617354385,0.027573506191187,-0.0178398555442515,-0.0242003534171834,-0.0127300908475095
"Pavement /Footway Defects",-0.102598366395544,-0.152161227297477,-0.0501381655041286,0.000188071031626935,TRUE,0.12611547194839,28549,0.454166520718764,0.388983989527741,0.488935438822645,0.664368150243494,0.639911050731072,-0.024457099512422,-0.0378599245787034,-0.0114409622046647
"Right of Way",-0.152766559823937,-0.22006930905677,-0.0796560380455484,8.65388052907538e-05,TRUE,0.204040253028422,19724,0.271902251064693,0.248036135113904,0.280207763805358,0.449329251461337,0.409423993972686,-0.0399052574886509,-0.059985263969009,-0.0199905001049785
"Other",-0.742524666948251,-0.76341460753878,-0.719790193128786,8.17476434519488e-217,TRUE,0.169600988824898,28387,0.354845527882481,0.167500962649211,0.396800758849653,0.233419006912539,0.0752753979432939,-0.158143608969245,-0.264389835283166,-0.0728932256793846
